author,comment,likes,published_at,comment_id
@pandsrock,"Presidential election coming up, so they need to start it all over again.",273,2024-07-09T20:35:37Z,UgyMrYOHxEQrivLn9rd4AaABAg
@dtaylor939,Give it up... We aint doing this again.,371,2024-07-09T19:21:24Z,UgzQ5fnkaNaa7ya-Qax4AaABAg
@jaytaylor2312,Just in time for the election ,208,2024-07-09T16:49:43Z,UgzZJ9pOFb_u2YNhF494AaABAg
@PHN-2024,"But, but What Happened with the Covid Vaccines and Multiple Boosters?",260,2024-07-09T16:25:45Z,UgxsnhMoSnzMOBkasg14AaABAg
@debianderegg7529,Very informative instructions.  Much easier to follow than the printed instructions that come with the kit.  Thank you.,560,2022-01-13T22:34:28Z,UgxWWwO96rr6N7SZgRt4AaABAg
@katiejohnson2623,Thank you for making this video! When your very sick its hard to think clearly enough to figure anything out.,256,2021-11-30T21:53:15Z,UgzJMpm0WyJQ9DOtsjR4AaABAg
@zs3347,Dont forgot to look depressed when your preforming the test. Its a very important step!,902,2021-10-13T04:31:26Z,UgyzWOmtVJ8MczFs-aZ4AaABAg
@ShafterKali,Carefully read instructions. Im watching this video so I dont have to read the instructions..,260,2021-08-26T01:48:10Z,Ugz_7tFnwP-E3hxN1oZ4AaABAg
@alanvalencia8585,This low key feels like Im doing a pregnancy test,298,2021-08-25T04:33:33Z,UgyCqza7ZATJaSNVmSV4AaABAg
@yoshilu7451,"How has no one talked about Bowen shouting Wait, wheres my wife? After Heidi Thanos snapped herself? ",208,2022-05-17T00:13:53Z,UgxFe0lonZrOQELHyGN4AaABAg
@Technibility,"I died when he said oh you mean when they built a smaller restaurant in the street, how is that outdoors",594,2022-04-11T02:18:34Z,Ugx6k3UlLZeZFN4fMqt4AaABAg
@daniel_8181,I am from Italy and this is so internationally true that I laughed so loud!,590,2022-03-16T19:28:57Z,Ugxc9eruKAO6NiXS2oh4AaABAg
@duswil3934,When the political climate shifts and collaborators pretend they were on the other side all along.,183,2022-03-10T14:48:42Z,Ugyj0JjaA9SvKUvikYV4AaABAg
@Driver_Eddie,I thought comedians were supposed to be the first ones to say the bold thing before anyone else did not the last ones to say something everyone else realized a year ago,356,2022-03-07T11:22:57Z,UgzYvlpAM0ahJZLByJJ4AaABAg
@j37j2,"Next, snl should do a sketch on gas lighting, because theyre so good at it.",370,2022-03-06T04:07:53Z,UgwSav36JoIYTcIiW0x4AaABAg
@moisesrosario433,It would have been funny if they had come out with this sketch a year ago.,905,2022-03-06T03:29:09Z,Ugwaho3AHUoFVviO80l4AaABAg
@danielbell4007,Brendan Fraser laughing was by far the funniest part. It stood alone.,241,2022-03-04T06:12:19Z,Ugwkf5_O9SPuGXGGGMp4AaABAg
@terregales7203,Nothing says trust the science like you cant sue us if something goes wrong ,434,2022-03-02T20:23:38Z,UgzR7dWMKT3jjgFQVHd4AaABAg
@skatefan9495,"I have had these conversations in real life. Once, a friend stuck her fingers in her ears and ran out of the room.",248,2022-03-02T18:49:38Z,Ugx7Sf47L4_gkLs7rHd4AaABAg
@anthonyaccomazzo3231,The reason everyone around the table is wincing at discussion topics is because the media incl SNL drew sharp boundaries around acceptable opinions,329,2022-03-02T14:45:45Z,UgwDDEjZs0aHFwE2VgZ4AaABAg
@marquis2831,Id have so much more respect for SNL if they did something like this a year agothey mustve gotten the midterm elections memo.,694,2022-03-02T10:50:35Z,Ugz8miRdOfQ4n8fXjWZ4AaABAg
@garrett1307,Whats messed up is 10 seconds ago this would have been considered misinformation and banned,777,2022-03-02T01:50:29Z,UgyGrhMhsCqmPrjlNWZ4AaABAg
@isaacsumner,Imagine being a comedian who didnt joke about things that might displease the government.,351,2022-03-01T22:12:38Z,UgxtJXse-z4YPlNbxm94AaABAg
@sticksnstones7716,"Hey, remember all those far right people saying all of this for the last 2 years.yea, that was awesome",155,2022-03-01T21:51:38Z,UgyGyoslAWeYAh8ikn54AaABAg
@recker18,A buddy of mine once said wearing a mask to enter a restaurant and then taking it off at the table is like choosing which section of the pool to piss in,1225,2022-03-01T19:56:44Z,UgwDspyl-PdmHSh4Pn54AaABAg
@nathanweisser,"Just so the historians know, SNL made these jokes approximately 2 years after it was actually meaningful or brave to make these jokes.",2607,2022-03-01T18:44:22Z,UgxP8UEhR7pwfkWEhoN4AaABAg
@birch5757,"What it really boils down to is that people hate admitting theyre wrong, and the dumber they are, the more they hate admitting it.",2750,2022-03-01T17:28:11Z,UgyAMwu5WppUcoG4yRJ4AaABAg
@TNTspaz,"Ah yes, the we gaslight you for a year but are totally on your side joke. Laughing all the way to the moon",386,2022-03-01T16:27:10Z,UgzMB6CJpjlgwlsrXFl4AaABAg
