author,comment,likes,published_at,comment_id
@anp901,When the labour party from the UK sent its workers to help Kamala Harris I didnt see this uproar....,211,2025-01-02T02:19:28Z,Ugxr8TX-_wvEU91UlIJ4AaABAg
@the_network_analyst,"If the politicians had done their job well, would Elons opinion ever matter at all?",333,2025-01-01T20:00:29Z,Ugw73JPTWdqx3O1gXvp4AaABAg
@zeke8265,Elon is a free guy can say whatever he want. lol,163,2025-01-01T19:46:08Z,UgyO4wAOznm-p30Usop4AaABAg
@musicallyinclined6588,But you had no problem with Taylor Swift endorsing Kamala Harris?,182,2025-01-01T18:00:18Z,UgzTo6FdPySbbVEekq94AaABAg
@collegedays4924,Even with a rigged election he still couldnt win a majority ,230,2023-03-03T05:26:00Z,UgxX64cz4zOA5iYOyad4AaABAg
@bw7057,Trudeau knew all along. Thats why he was so confident when he called for the last election.,185,2023-03-03T04:38:21Z,UgxR1IHVqo7rSnl71R14AaABAg
@Liberal_From_Prairies689,"How about Chinese interference in the Canadian housing market, especially the housing market in Vancouver?",172,2023-03-03T04:15:06Z,UgzZVfW7bpriyXZBZ994AaABAg
@Sajin_Zero,"Michigander here, voted today and got the BEST STICKER EVER!",245,2024-10-26T22:57:28Z,UgyB70X-srKkFmJT19V4AaABAg
@lonreed9743,My daughter turned 18 on the 20th and shes making it her priority to register and vote for the first time this year. So proud ,757,2024-10-21T22:54:30Z,UgwfN0rMft-8NpS1JiJ4AaABAg
@JeremyEllwood,I live in Michigan... pretty much ALL of us want the werewolf sticker. We love it!,213,2024-10-19T23:37:09Z,UgwreZBafTscIB94WeZ4AaABAg
@haleyhottinger8239,"Thanks, Jon Oliver for truth and comedy rolled into one.",167,2024-10-19T16:12:18Z,UgzrblS1Vqa05eEwSbd4AaABAg
@TonyGearSolid,"Anyone challenging voting registrations should be required to show up to each hearing and defend their claims. I bet that would stop those people dead in their tracks, because theres no way any of them would show up to 100s of hearings.",746,2024-10-19T11:30:27Z,Ugz5n-ITtbIei6VIYNF4AaABAg
@PetProjects2011,Do they blame ALL common inconveniences on immigration?,152,2024-10-18T15:44:48Z,UgzWUdCR78VdJxylJRd4AaABAg
@andreapoulieva6717,"Watching this from Europe  all of this, the TrumpistMAGA shift of the Republican party, Jan 6, the reversal of Roe, all of that nonsense   reads like 80 of Americans truly have lost their minds. How did that happen ? Nowadays, I wouldnt even go to the States for a holiday. No way no how.",158,2024-10-18T08:48:21Z,Ugz_730DuW1EUbQl8Sh4AaABAg
@TenTonNuke,How is it not illegal for a major news organization to knowingly report lies?,254,2024-10-18T01:56:23Z,Ugzd_ooR42ul4Hjz68p4AaABAg
@WayneASchneider,"Fun Fact for the Cyber Ninjas Bamboo is commercially grown in Arizona.  So, finding bamboo on the paper ballots would prove nothing.",578,2024-10-18T01:07:42Z,UgzF4qHJ5yRpJ6_oQgl4AaABAg
@nuschlerclark895,I moved from Hawaii to here in Georgia 10 years ago.  I have been thrown off voter rolls because Im from Hawaii.which is seen as being from a foreign nation.  Yeah me and Barack Obamaforeigners! But Hawaii was made a state in 1959.  Mind boggling.,568,2024-10-17T21:50:08Z,UgznYpbsgNNVmcRWunl4AaABAg
@girafarig7859,"As someone voting in Michigan this year, Ill be PISSED if I dont get that werewolf sticker",2542,2024-10-17T19:50:12Z,UgwzbpZNsNf2D5rFwPB4AaABAg
@davidhand9721,Do they blame every inconvenience on illegal immigrants?,3496,2024-10-17T18:58:20Z,UgyiexpzxGDuw_59g-p4AaABAg
@ericburns469,"Everyone should have to work an election, as a civic duty. These people have no idea how secure, and therefore tedious, the work is.",158,2024-10-17T15:44:28Z,UgxPB-pJz85B1KqtP3N4AaABAg
