author,comment,likes,published_at,comment_id
@fasanyaakintoye5142,Why did Zelensky desire NATO membership initially? The same NATO is useless now,228,2025-03-06T17:16:02Z,Ugwem3UmnBTujBj2kXt4AaABAg
@yjk5430,To be Russias enemy and to be Americas friend are fatal.,249,2025-03-06T17:14:08Z,UgzVJwq8-ykkYqthsQd4AaABAg
@6Atomic6Rooster6,Trump has finally lost what little of his mind he had left.,165,2025-03-07T20:48:55Z,Ugx371nETGoxtSbypV14AaABAg
@GearsofCoss,The propaganda yesmen hes surrounded himself with is insane.. America is looking more and more like russia every day.,153,2025-03-07T20:47:06Z,Ugwnlld3OGSR5cFwQaV4AaABAg
@zygotepeyote,Its all bullshit! He is a Russian asset and this is all theatrics!,367,2025-03-07T19:55:48Z,UgwHIDi_N0807hltYVh4AaABAg
@Vertigotheatre1,"Sides with Russia again, jobs are down, groceries up 3 and he crashed the stock market. Good day for Trump.",235,2025-03-07T19:49:16Z,UgwKrt17eh7TUQtMxwt4AaABAg
@katytoro5615,Ukraine is being attacked by Russia and trump is finding it difficult to deal with Ukraine? WTF?!,591,2025-03-07T19:44:41Z,UgzYXLZCQZmnvtU2gjV4AaABAg
@joek.2522,If Russia wants peace just leave Ukraine???,520,2025-03-07T19:19:39Z,UgwXCZr4B-729U10IH14AaABAg
@mrk6753,"WTF, he still doesnt condemn Russia. Just says they are justified in pounding Ukraine because he doesnt know if Ukraine wants to settle. Thats crazy!",170,2025-03-07T19:17:51Z,Ugz6zkkCuDuDMO8qimx4AaABAg
@hernantuquero5969,He lies. Macron already corrected him about European Union contributing more money than the US.,710,2025-03-07T19:06:38Z,UgwhuXrns6NKcK0mM-R4AaABAg
@Stew-s5e,"Threatening an ally to give up their mineral rights in order to give them help is absolutely disgusting, who in their right mind would ever trust this administration?",362,2025-03-07T19:04:39Z,UgxVTT2zbuSwfh2uW1V4AaABAg
@beetoven8193,Pressuring Ukraine to settle is morally unhinged.,752,2025-03-07T19:03:50Z,UgzrkKpCpbdD6wi-RBp4AaABAg
@lesliebland4476,Trump why does Russia have all the cards? Because you are not helping when the majority of US citizens and the world want you to help. And that is to stop Putin not merely pause Putin.,169,2025-03-07T19:03:17Z,UgyXgtaeDRtpE4Xi6wx4AaABAg
@mangographics225,This is precisely why a Democracy can NOT be run like a Corporation or Business!!!,270,2025-03-07T18:57:07Z,UgxmeMpMvnZACaf8K3R4AaABAg
@MrGQ115,He just doesnt want to make it too obvious that he is a kgb puppet,153,2025-03-07T18:57:02Z,UgyiXBTeK3DJODz_Hjl4AaABAg
@alondra3809,This guy is absolutely out of control. He is a disgrace for Human kind. There has been nothing so stupid on planet Earth for centuries. How is it possible that a working brain voted for him? It is disturbing and upsetting.,906,2025-03-07T18:56:40Z,Ugwmdq_PuRqoksvFxxB4AaABAg
@kleigh4418,Trump Tomorrow  I dont know what youre talking about. I never said that,732,2025-03-07T18:55:43Z,UgzALMs6hdhDKO_3K594AaABAg
@scratchingthesurfaceAI,"what a jerk, one day removes all aid to Ukraine and the next says that Russia is going too heavy... this guy doesnt even remember what he had for breakfast, imagine what comes from his mouth or twits one day before.",500,2025-03-07T18:53:15Z,Ugxnwxilo_3DIBDj2BN4AaABAg
@lucvallieres,"Trump said Russia holds all the cards. Yes, because youve given them all to your friend Putin.",630,2025-03-07T18:51:59Z,UgzQprhOqAxXOK6GUz94AaABAg
@isytrevino733,Trump is Putins Chump,173,2025-03-07T18:48:51Z,UgyDUhUJcJWzPF8fqnp4AaABAg
@kevinaschim8475,Hes a buffoon. A joke. Even worse hes a traitor and a coward.,779,2025-03-07T18:48:24Z,UgzM2NFtEWL5f834e7Z4AaABAg
@steff2178,This is BS. NO ONE BELIEVES THIS LIAR!,285,2025-03-07T18:47:57Z,UgzxaWpkfMeNhISXbEB4AaABAg
@andreafiorini6418,A statement from trump has the value of a fart,185,2025-03-07T18:47:56Z,Ugy9Zn5tDaFckXog8wl4AaABAg
